index,node_id,type
870,cs_10721,Paper
871,cs_10722,Paper
872,cs_10723,Paper
873,cs_10724,Paper
874,cs_10725,Paper
875,cs_10726,Paper
876,cs_10727,Paper
877,cs_10728,Paper
878,cs_10729,Paper
879,cs_1073,Paper
880,cs_10730,Paper
881,cs_10731,Paper
882,cs_10732,Paper
883,cs_10733,Paper
884,cs_10734,Paper
885,cs_10735,Paper
886,cs_10736,Paper
887,cs_10737,Paper
888,cs_10738,Paper
889,cs_10739,Paper
890,cs_1074,Paper
891,cs_10740,Paper
892,cs_10741,Paper
893,cs_10742,Paper
894,cs_10743,Paper
895,cs_10744,Paper
896,cs_10745,Paper
897,cs_10746,Paper
898,cs_10747,Paper
899,cs_10748,Paper
900,cs_10749,Paper
901,cs_1075,Paper
902,cs_10750,Paper
903,cs_10751,Paper
904,cs_10752,Paper
905,cs_10753,Paper
906,cs_10754,Paper
907,cs_10755,Paper
908,cs_10756,Paper
909,cs_10757,Paper
910,cs_10758,Paper
911,cs_10759,Paper
912,cs_1076,Paper
913,cs_10760,Paper
914,cs_10761,Paper
915,cs_10762,Paper
916,cs_10763,Paper
917,cs_10764,Paper
918,cs_10765,Paper
919,cs_10766,Paper
920,cs_10767,Paper
921,cs_10768,Paper
922,cs_10769,Paper
923,cs_1077,Paper
924,cs_10770,Paper
925,cs_10771,Paper
926,cs_10772,Paper
927,cs_10773,Paper
928,cs_10774,Paper
929,cs_10775,Paper
930,cs_10776,Paper
931,cs_10777,Paper
932,cs_10778,Paper
933,cs_10779,Paper
934,cs_1078,Paper
935,cs_10780,Paper
936,cs_10781,Paper
937,cs_10782,Paper
938,cs_10783,Paper
939,cs_10784,Paper
940,cs_10785,Paper
941,cs_10786,Paper
942,cs_10787,Paper
943,cs_10788,Paper
944,cs_10789,Paper
945,cs_1079,Paper
946,cs_10790,Paper
947,cs_10791,Paper
948,cs_10792,Paper
949,cs_10793,Paper
950,cs_10794,Paper
951,cs_10795,Paper
952,cs_10796,Paper
953,cs_10797,Paper
954,cs_10798,Paper
955,cs_10799,Paper
956,cs_108,Paper
957,cs_1080,Paper
958,cs_10800,Paper
959,cs_10801,Paper
960,cs_10802,Paper
961,cs_10803,Paper
962,cs_10804,Paper
963,cs_10805,Paper
964,cs_10806,Paper
965,cs_10807,Paper
966,cs_10808,Paper
967,cs_10809,Paper
968,cs_1081,Paper
969,cs_10810,Paper
970,cs_10811,Paper
971,cs_10812,Paper
972,cs_10813,Paper
973,cs_10814,Paper
974,cs_10815,Paper
975,cs_10816,Paper
976,cs_10817,Paper
977,cs_10818,Paper
978,cs_10819,Paper
979,cs_1082,Paper
980,cs_10820,Paper
981,cs_10821,Paper
982,cs_10822,Paper
983,cs_10823,Paper
984,cs_10824,Paper
985,cs_10825,Paper
986,cs_10826,Paper
987,cs_10827,Paper
988,cs_10828,Paper
989,cs_10829,Paper
990,cs_1083,Paper
991,cs_10830,Paper
992,cs_10831,Paper
993,cs_10832,Paper
994,cs_10833,Paper
995,cs_10834,Paper
996,cs_10835,Paper
997,cs_10836,Paper
998,cs_10837,Paper
999,cs_10838,Paper
1000,cs_10839,Paper
1001,cs_1084,Paper
1002,cs_10840,Paper
1003,cs_10841,Paper
1004,cs_10842,Paper
1005,cs_10843,Paper
1006,cs_10844,Paper
